"citric acid","chlorides","pH","alcohol","quality"
0.45,0.052,3.12,10.2,4
0.33,0.035,3.11,10.7,5
0.32,0.038,3.05,11.7,4
0.37,0.031,3.3,12.2,4
0.28,0.028,2.96,11.6,5
0.31,0.069,3.18,9.4,5
0.31,0.069,3.18,9.4,5
0.13,0.042,3.23,9.2,5
0.58,0.05,3.15,9.2,5
0.13,0.042,3.23,9.2,5
0.58,0.05,3.15,9.2,5
0.27,0.041,3.24,10,5
0.24,0.04,3.22,9.5,5
0.81,0.217,3.08,9.5,5
0.18,0.056,3.11,9.5,5
0.35,0.037,3.09,9.7,5
0.18,0.056,3.11,9.5,5
0.19,0.051,3.16,9.7,5
0.23,0.069,3.25,9.1,5
0.19,0.051,3.16,9.7,5
0.38,0.058,3.21,9.9,5
0.33,0.059,3.22,9.9,5
0.34,0.056,3.26,10.2,5
0.3,0.031,3.19,11.4,5
0.3,0.031,3.19,11.4,5
0.37,0.051,3.32,10,5
0.26,0.067,3.03,9.2,4
0.58,0.046,3.08,8.9,5
0.61,0.046,3.07,8.9,5
0.35,0.049,3.35,9.7,5
0.38,0.067,3.17,9.7,5
0.19,0.04,3.16,9.4,5
0.2,0.06,3.13,9,4
0.18,0.042,3.16,9.1,5
0.19,0.04,3.16,9.4,5
0.45,0.094,3.05,8.8,5
0.42,0.047,3.54,10.4,5
0.14,0.043,3.13,8.9,5
0.2,0.06,3.13,9,4
0.18,0.048,3.23,9,5
0.2,0.046,3.16,9.5,5
0.18,0.048,3.23,9,5
0.35,0.039,2.97,10.4,5
0.28,0.049,3.24,9.3,5
0.28,0.049,3.24,9.3,5
0.21,0.056,3.11,9,5
0.21,0.056,3.11,9,5
0.32,0.027,3.08,10.6,5
0.32,0.053,3.35,10.1,5
0.26,0.067,3.04,9.2,4
0.52,0.148,3.08,8.7,5
0.26,0.049,3.06,9.5,5
0.26,0.049,3.06,9.5,5
0.26,0.049,3.06,9.5,5
0.26,0.049,3.06,9.5,5
0.24,0.158,3.17,9.4,5
0.23,0.157,3.17,9.4,5
0.26,0.049,3.06,9.5,5
0.28,0.058,3.45,9.4,5
0.18,0.055,3.21,9,5
0.18,0.051,3.23,9.1,5
0.2,0.049,3.21,10,5
0.55,0.053,2.93,9.2,5
0.3,0.045,3.11,9.3,5
0.55,0.053,2.93,9.2,5
0.3,0.045,3.11,9.3,5
0.62,0.045,3.16,8.8,5
0.59,0.046,3.17,8.9,4
0,0.053,3.79,10.2,5
0.21,0.045,3.22,9.4,5
0.55,0.038,3.11,9.7,5
0.55,0.038,3.11,9.7,5
0.4,0.054,3.19,9.8,5
0.32,0.032,2.95,10.5,5
0.35,0.058,3.44,8.9,5
0.34,0.048,3.18,10.3,5
0.22,0.041,3.29,10.6,5
0.35,0.067,3.15,9,4
0.3,0.051,3.48,9.7,5
0.3,0.051,3.48,9.7,5
0.27,0.032,3.4,10.5,5
0.63,0.039,3.08,8.8,4
0.4,0.168,3.06,9.5,5
0.22,0.048,3.47,10,5
0.37,0.028,3.2,11.5,5
0.27,0.04,3.05,9.4,5
0.27,0.157,3.03,9.3,5
0.46,0.05,3.28,9.7,5
0.26,0.053,3.42,9.7,5
0.24,0.06,3.59,9.2,5
0.35,0.092,3.19,9.8,5
0.44,0.05,3.12,9,5
0.73,0.099,3.21,9.2,5
0.18,0.036,3.28,11.5,4
0.37,0.034,3.05,10.4,3
0.56,0.063,3.1,9.3,5
0.19,0.084,3.49,9.6,4
0.19,0.085,3.49,9.5,4
0.68,0.042,3.05,8.7,5
0.29,0.053,3.29,9.9,4
0.3,0.053,3.29,9.9,4
0.35,0.041,3.06,11.3,4
0.55,0.056,3.29,8.7,5
0.29,0.059,3.54,10.3,5
0.25,0.047,2.98,9.1,5
0.42,0.047,3.09,10,4
0.49,0.044,3.1,10.2,4
0.46,0.046,3.04,9.6,5
0.18,0.044,3.16,9.5,5
0.1,0.044,3.1,9.1,5
0.28,0.034,3.35,10.2,4
0.17,0.08,3.47,9.4,4
0.28,0.034,3.35,10.2,4
0.18,0.095,3.53,9.2,4
0.3,0.05,2.98,10,5
0.09,0.044,3.15,9,5
0.16,0.032,3.16,9.5,5
0.41,0.07,3.39,9.1,5
0.43,0.045,3.26,9.5,5
0.18,0.096,3.56,9.2,5
0.18,0.096,3.56,9.2,5
0.17,0.042,3.22,9.4,5
0.14,0.045,3.23,9,5
0.17,0.044,3.21,9.4,5
0.35,0.034,3.17,9.8,4
0.28,0.056,3.17,9.4,5
0.28,0.056,3.17,9.4,5
0.26,0.147,3.14,10,5
0.32,0.063,3,9.2,5
0.33,0.052,3.15,10,5
0.32,0.063,3,9.2,5
0.34,0.051,3.15,10,5
0.33,0.052,3.15,10,5
0.15,0.037,3.28,9.4,5
0.15,0.037,3.28,9.4,5
0.3,0.036,3.3,9,5
0.24,0.045,3.08,9.2,5
0.24,0.045,3.08,9.2,5
0.33,0.053,2.89,9.5,5
0.33,0.053,2.89,9.5,5
0.15,0.053,3.08,8.8,5
0.78,0.041,2.98,8.7,5
0.79,0.04,2.98,8.7,5
0.1,0.049,3.21,9.5,5
0.34,0.056,3.1,9.5,5
0.09,0.071,3.22,9.8,5
0.3,0.049,3.24,10.2,5
0.16,0.05,3.17,9,5
0.32,0.079,3.02,8.8,5
0.24,0.075,3.21,9.5,5
0.23,0.054,3.16,9.7,4
0.23,0.054,3.16,9.7,4
0.22,0.043,3.19,10.2,5
0.25,0.031,3.11,10.8,5
0.36,0.046,3.27,8.8,5
0.36,0.046,3.27,8.8,5
0.36,0.046,3.27,8.8,5
0.4,0.039,3.14,9.8,5
0.36,0.045,3.17,9.4,4
0.36,0.045,3.17,9.4,4
0.57,0.053,3.12,9,5
0.36,0.032,3.07,9.8,5
0.55,0.04,3.24,9.2,5
0.23,0.054,3.18,9.7,5
0.38,0.053,3.22,11.6,5
0.23,0.054,3.18,9.7,5
0.13,0.044,3.24,9,5
0.27,0.049,3.16,9.4,4
0.27,0.049,3.16,9.4,4
0.3,0.046,3.21,10.8,5
0.18,0.028,3.41,10,5
0.34,0.03,3.13,10.6,5
0.34,0.029,3.13,10.6,5
0.38,0.046,3.32,9.6,5
0.14,0.052,3.21,9.4,5
0.47,0.052,3.09,9.3,5
0.14,0.052,3.21,9.4,5
0.52,0.046,3.07,9.4,5
0.64,0.033,3,8.8,5
0.65,0.079,3.2,9.4,5
0.22,0.052,3.08,9.6,5
0.65,0.079,3.2,9.4,5
0.16,0.048,3.13,8.9,5
0.28,0.028,3.34,11.4,5
0.28,0.028,3.34,11.4,5
0.28,0.026,3.46,9.9,5
0.36,0.035,3.15,9.7,5
0.24,0.043,3.18,10.5,5
0.4,0.039,3.18,9.4,5
0.36,0.037,3.18,9.6,5
0.26,0.053,3.2,10.4,5
0.1,0.068,3.2,9.7,4
0.29,0.038,3.2,10.8,5
0.29,0.048,3.22,10.8,5
0.34,0.042,3.24,10.6,5
0.31,0.046,3.23,9.8,5
0.31,0.046,3.23,9.8,5
0.32,0.031,3.31,9.4,5
0.46,0.053,3.18,9.4,5
0.39,0.038,3.19,9.4,5
0.52,0.05,3.07,9.4,5
0.37,0.021,3.39,12,5
0.28,0.041,3.14,8.7,5
0.52,0.05,3.07,9.4,5
0.37,0.021,3.39,12,5
0.21,0.033,3.34,8,5
0,0.044,3.56,10.9,5
0.2,0.065,3.13,8.6,5
0.27,0.034,3.2,9,5
0.73,0.044,2.96,8.7,5
0.27,0.034,3.2,9,5
0.73,0.044,2.96,8.7,5
0.35,0.042,3.24,10.6,5
0.4,0.066,3.17,9.7,5
0.22,0.047,3.22,10.3,5
0.28,0.037,3.24,9.3,5
0.39,0.066,3.11,9.5,5
0.26,0.069,3.18,9.3,5
0.27,0.042,3.14,8.7,5
0.22,0.081,3.4,9.4,5
0.23,0.034,3.23,10.1,5
0.24,0.039,3.19,10,4
0.41,0.05,3.39,9.3,5
0.4,0.046,3.2,9.3,5
0.17,0.042,3.13,9.6,5
0.17,0.042,3.13,9.6,5
0.38,0.042,3.21,9.2,5
0.37,0.043,3.18,10.8,5
0.36,0.038,3.26,8.8,5
0.36,0.038,3.26,8.8,5
0.36,0.038,3.26,8.8,5
0.36,0.038,3.26,8.8,5
0.34,0.044,3.22,8.9,5
0.34,0.044,3.22,8.9,5
0.22,0.049,3.74,10,5
0.44,0.045,3.24,9.1,5
0.34,0.044,3.22,8.9,5
0.64,0.043,2.99,9.3,5
0.32,0.045,3.22,10.5,5
0.22,0.06,3.18,9.2,5
0.36,0.051,3.09,9.7,5
0.34,0.049,3.09,10,5
0.42,0.067,3.19,9.3,5
0.42,0.067,3.19,9.3,5
0.28,0.027,3.13,10.6,5
0.18,0.082,3.42,9.2,5
0.26,0.038,3.36,9.2,5
0.15,0.06,3.14,8.7,5
0.35,0.05,3.24,10.7,5
0.35,0.05,3.24,10.7,5
0.37,0.025,3.11,11.4,5
0.34,0.036,3.4,12.2,5
0.25,0.083,3.17,9.1,5
0.25,0.083,3.17,9.1,5
0.42,0.066,3.12,9.4,5
0.43,0.065,3.11,9.4,5
0.51,0.047,3.22,9.2,5
0.44,0.046,3.2,9.4,5
0.53,0.053,3.07,9.4,5
0.53,0.053,3.07,9.4,5
0.51,0.047,3.22,9.2,5
0.44,0.046,3.2,9.4,5
0.71,0.038,3.03,8.9,5
0.72,0.039,3.03,8.9,5
0.32,0.03,3.17,10.9,5
0.24,0.038,3.23,11,5
0.41,0.052,3.19,10.8,5
0.47,0.052,2.91,9.3,4
0.82,0.152,2.99,9.2,5
0.46,0.056,3.5,9.9,5
0.24,0.044,3.22,10.5,5
0.32,0.044,3.17,11.2,5
0.34,0.05,3.22,10.8,5
0.43,0.064,3.12,9.4,5
0.31,0.049,3.1,10.9,5
0.34,0.035,3.5,11.7,5
0.07,0.033,3.16,10,5
0.37,0.169,3.02,9.5,5
0.29,0.053,3.03,9,5
0.34,0.052,3.04,10,5
0.39,0.041,3.08,11.9,5
0.23,0.018,3.05,10.6,5
0.31,0.04,3.21,10.7,5
0.55,0.045,2.97,9.3,5
0.35,0.039,2.93,10.7,5
0.3,0.039,3.2,9.9,5
0.31,0.042,3.13,10.5,5
0.28,0.032,3.31,11.5,5
0.34,0.04,3.04,10.5,4
0.46,0.054,3.23,9,5
0.26,0.054,3.58,10,5
0.39,0.055,3.37,10.3,5
0.46,0.054,3.23,9,5
0.28,0.032,2.99,11.1,5
0.26,0.05,3.31,9,5
0.14,0.036,3.27,9.4,5
0.26,0.073,3.1,9.8,5
0.46,0.047,3.2,9.3,5
0.2,0.031,3.22,9.5,5
0.14,0.036,3.27,9.4,5
0.3,0.046,3.03,9.3,5
0.32,0.038,3.19,10.7,5
0.4,0.032,3.01,10.8,4
0.3,0.038,3.1,10.1,5
0.29,0.028,3.3,9.8,5
0.28,0.023,2.95,11.4,4
0.27,0.03,3.3,9.8,5
0.3,0.038,3.1,10.1,5
0.3,0.022,3.11,10.6,5
0.46,0.037,3.17,9.3,5
0.25,0.042,3.08,9,5
0.22,0.044,3.37,10,5
0.25,0.041,3.08,9,5
0.25,0.042,3.08,9,5
0.24,0.042,3.14,11.3,5
0.22,0.044,3.37,10,5
0.38,0.112,3.02,9.2,5
0.24,0.044,3.77,10.6,5
0.31,0.021,2.93,11.5,5
0.31,0.021,2.93,11.5,5
0.24,0.05,3.11,9.9,5
0.31,0.061,3.16,9.5,5
0.29,0.046,3.34,10.6,4
0.21,0.05,3.06,9.7,5
0.22,0.035,3.1,10.4,5
0.46,0.036,3.37,10.9,5
0.34,0.054,3.42,10.4,5
0.37,0.045,3.2,10.8,5
0.53,0.041,3.11,11.9,5
0.38,0.126,2.98,9.4,5
0.24,0.039,3.53,9.6,4
0.38,0.126,2.98,9.4,5
0.36,0.042,3.09,9.5,5
0.41,0.016,3.16,13.4,5
0.37,0.026,3.13,12.7,5
0.38,0.045,3.17,9.1,5
0.54,0.046,3.19,10.4,5
0.54,0.046,3.19,10.4,5
0.54,0.046,3.19,10.4,5
0.8,0.038,2.95,9,5
0.8,0.038,2.95,9,5
0.42,0.033,3.17,10.7,4
0.41,0.039,3.25,12,5
0.33,0.042,3.28,10.4,5
0.3,0.039,3.05,8.6,5
0.38,0.045,3.17,9.1,5
0.35,0.028,2.96,12.1,5
0.34,0.032,3.32,12,5
0.54,0.046,3.19,10.4,5
0.34,0.041,3.14,10.1,3
0.5,0.045,3.25,11.7,5
0.49,0.047,3.15,11.1,5
0.46,0.047,3.03,10.3,5
0.36,0.054,3.4,10.4,4
0.34,0.043,3.12,10.4,5
0.37,0.027,3.09,10.8,5
0.34,0.043,3.12,10.4,5
0.22,0.037,3.46,12.2,5
0.38,0.052,3.06,10.3,5
0.38,0.043,3.17,11,5
0.26,0.061,3.11,8.8,5
0.27,0.04,3.5,11.2,5
0.27,0.04,3.5,11.2,5
0.42,0.033,2.87,9.5,5
0.42,0.033,2.87,9.5,5
0.22,0.05,3.3,10.5,5
0.4,0.046,3,10.5,4
0.33,0.038,3.25,9.8,5
0.59,0.046,3.06,10.8,4
0.33,0.035,3.15,10.2,5
0.33,0.038,3.25,9.8,5
0.32,0.036,3.26,11,5
0.34,0.035,3.33,9.1,5
0.24,0.045,3.53,10.8,5
0.34,0.04,3.11,10.6,5
0.23,0.053,3.13,9,5
0.32,0.041,3.25,11.8,5
0.46,0.044,2.97,11.1,5
0.23,0.053,3.13,9,5
0.25,0.142,3,9.9,4
0.53,0.102,2.93,12.9,5
0.32,0.038,3.14,12.5,5
0.29,0.059,3.09,9.8,5
0.29,0.059,3.09,9.8,5
0.4,0.042,3.03,11.4,5
0.32,0.03,3.21,13,5
0.23,0.041,3.42,8.0,3
0.36,0.061,3.31,9.4,5
0.29,0.044,3.1,10.2,5
0.31,0.039,3.45,10.9,5
0.02,0.043,3.14,9.8,4
0.36,0.061,3.31,9.4,5
0.29,0.044,3.1,10.2,5
0.42,0.044,3.14,9.4,5
0.37,0.043,3.08,11.4,5
0.41,0.046,3.14,9.4,5
0.41,0.046,3.14,9.4,5
0.42,0.044,3.14,9.4,5
0.5,0.047,3.17,9.2,5
0.37,0.043,3.08,11.4,5
0.29,0.037,2.9,11,3
0.28,0.047,3.5,10.4,5
0.36,0.05,3.06,10.4,5
0.28,0.042,3.15,10.2,5
0.29,0.038,3.3,11.5,5
0.32,0.059,3.18,11.1,5
0.21,0.045,3.32,9.5,5
0.49,0.046,3.01,9.2,5
0.49,0.046,3.01,9.2,5
0.45,0.048,3.2,9.1,5
0.46,0.047,3.2,9.1,5
0.32,0.052,3.39,9.5,5
0.3,0.028,2.94,11.2,5
0.25,0.024,2.87,11.4,5
0.32,0.052,3.39,9.5,5
0.35,0.051,3.37,11,3
0.3,0.03,3.16,12.9,4
0.49,0.06,3.01,8.5,5
0.39,0.051,3.35,9.1,5
0.39,0.051,3.35,9.1,5
0.29,0.044,3.24,11.5,5
0.22,0.052,3.22,9.4,5
0.44,0.057,3.11,9.1,5
0.22,0.052,3.22,9.4,5
0.32,0.04,3.16,12,5
0.28,0.04,3.18,11.1,5
0.44,0.057,3.11,9.1,5
0.48,0.047,3.23,10,5
0,0.033,3.26,12.4,5
0.13,0.042,3.06,10.6,5
0.41,0.046,3.12,9.6,5
0.27,0.047,3.04,8.8,5
0.3,0.047,3.26,10.4,5
0.45,0.054,3.14,9.1,5
0.45,0.054,3.14,9.1,5
0.41,0.05,3.19,11.1,5
0.15,0.048,3.05,9.1,5
0.41,0.048,3.2,9.4,5
0.15,0.048,3.05,9.1,5
0.13,0.036,3.09,11.1,4
0.35,0.046,3.14,9.7,5
0.44,0.048,3.15,9.2,5
0.35,0.046,3.14,9.7,5
0.44,0.048,3.15,9.2,5
0.47,0.146,3.23,10.1,5
0.24,0.031,3.01,11.8,4
0.12,0.05,2.86,9,5
0.12,0.05,2.86,9,5
0,0.033,3.32,10.5,4
0.36,0.048,3.14,10.6,5
0.22,0.038,3.1,11.2,4
0.21,0.026,2.92,11.1,5
0.36,0.053,3.31,10.8,5
0.48,0.056,3.04,9.4,5
0.24,0.047,3.11,9.2,5
0.48,0.056,3.04,9.4,5
0.24,0.047,3.11,9.2,5
0.61,0.041,3,9.3,5
0.33,0.041,3.21,11.4,5
0.61,0.041,3,9.3,5
0.33,0.041,3.21,11.4,5
0.2,0.117,3.24,9.5,5
0.25,0.032,2.9,11.1,5
0.6,0.037,2.92,10.4,4
0.12,0.05,3.42,10.4,4
0.26,0.03,3.07,11.2,5
0.2,0.053,3.32,9.1,5
0.25,0.085,3.1,8.7,5
0.37,0.087,3.09,9.8,5
0.27,0.03,3.15,10.8,5
0.25,0.085,3.1,8.7,5
0.37,0.087,3.09,9.8,5
0.27,0.076,3.1,10.1,5
0.22,0.05,3.06,9.2,5
0.46,0.088,2.86,9,5
0.09,0.039,3.12,10.1,5
0.09,0.02,3.3,13.6,5
0.18,0.045,3.09,9.2,5
0.23,0.049,3.12,8.8,5
0.3,0.028,2.83,10,4
0.26,0.041,3.04,11.2,5
0.22,0.05,3.06,9.2,5
0.45,0.038,3.18,9.5,5
0.23,0.068,3.11,9.8,5
0.23,0.069,3.11,9.8,5
0.41,0.044,3.28,10.3,5
0.41,0.044,3.28,10.3,5
0.29,0.042,3.39,8.6,5
0.48,0.026,3.22,12.7,4
0.72,0.167,2.97,9.2,5
0.28,0.04,3.02,11.9,5
0.25,0.055,3.3,9,5
0.23,0.039,3.28,10,5
0.34,0.04,3.29,10.7,5
0.33,0.042,3.29,10.7,5
0.23,0.039,3.28,10,5
0.34,0.04,3.29,10.7,5
0.33,0.042,3.29,10.7,5
0.35,0.025,2.79,10.9,5
0.24,0.017,3.03,11.5,5
0.17,0.033,3.08,9.4,5
0.17,0.033,3.08,9.4,5
0.17,0.033,3.08,9.4,5
0.17,0.033,3.08,9.4,5
0.31,0.014,3.03,12,4
0.12,0.009,3.26,13.5,5
0.39,0.04,3.31,9.7,5
0.31,0.04,3.11,12.3,5
0.39,0.04,3.31,9.7,5
0.45,0.05,3.18,9.5,5
0.48,0.037,3.02,8.8,5
0.44,0.043,3.18,9.5,5
0.52,0.044,3.18,9.5,5
0.45,0.05,3.18,9.5,5
0.5,0.051,3.18,9.5,5
0.45,0.046,3.22,10,5
0.21,0.098,3.03,9.3,5
0.39,0.057,3.05,10.9,5
0.28,0.042,3.2,11.4,5
0.3,0.036,2.99,10.3,5
0.39,0.057,3.05,10.9,5
0.3,0.036,2.99,10.3,5
0.21,0.098,3.03,9.3,5
0.62,0.041,2.96,10.2,5
0.34,0.06,3.24,10.5,3
0.38,0.052,3.13,11.1,5
0.39,0.057,3.05,10.9,5
0.28,0.042,3.2,11.4,5
0.28,0.049,3.22,10.3,5
0.3,0.045,3.12,9.9,5
0.2,0.039,3,10.7,5
0.49,0.052,3.19,9.5,5
0.18,0.053,3.22,11.5,5
0.19,0.086,2.83,9.6,5
0.19,0.086,2.83,9.6,5
0.22,0.052,3.14,9.2,5
0.23,0.052,3.16,8.4,5
0.22,0.052,3.14,9.2,5
0.23,0.052,3.16,8.4,5
0.23,0.055,3.26,9.1,5
0.23,0.055,3.26,9.1,5
0.43,0.047,3.23,10.6,5
0.26,0.048,3.12,9.2,5
0.26,0.048,3.12,9.2,5
0.26,0.048,3.12,9.2,5
0.54,0.054,3.06,8.6,4
0.51,0.094,2.91,9,5
0.51,0.062,3.13,9.6,5
0.28,0.059,3.2,10.5,5
0.31,0.053,3.15,11.4,5
0.31,0.069,3.18,9.4,5
0.2,0.054,3.12,11.1,4
0.37,0.049,3.15,10.8,5
0.37,0.049,3.15,10.8,5
0.3,0.036,3.18,10.6,5
0.1,0.044,3.01,9.2,5
0.3,0.036,3.18,10.6,5
0.1,0.044,3.01,9.2,5
0.12,0.013,3.32,13.5,4
0.51,0.056,3.18,9.4,5
0.34,0.057,3.14,10.2,5
0.3,0.045,2.95,10.1,5
0.3,0.045,2.95,10.1,5
0.33,0.031,2.83,10.3,5
0.31,0.046,3.15,11.5,5
0.47,0.063,3.18,9,5
0.47,0.063,3.18,9,5
0.21,0.039,2.96,11,4
0.2,0.046,3.08,9.4,5
0.36,0.185,3.17,9.3,5
0.37,0.053,3.16,9.3,5
0.34,0.068,3.24,10.1,5
0.3,0.045,3.32,9.3,5
0.37,0.053,3.16,9.3,5
0.34,0.068,3.24,10.1,5
0.2,0.066,3.14,8.8,5
0.2,0.066,3.14,8.8,5
0.18,0.05,3.24,10.3,5
0.36,0.026,3.11,12,5
0.46,0.084,2.91,9,5
0.48,0.056,2.97,8.8,5
0.23,0.05,3.1,11.2,4
0.51,0.049,3.16,9.4,4
0.51,0.049,3.16,9.4,4
0.25,0.035,3.21,10.7,5
0.41,0.06,2.99,9.2,5
0.31,0.038,2.9,12.1,5
0.57,0.062,3,9.5,5
0.57,0.062,3,9.5,5
0.12,0.054,3.16,9.3,5
0.24,0.055,3.2,9.2,5
0.12,0.054,3.16,9.3,5
0.12,0.056,3.06,8.4,4
0.42,0.062,3.04,9.2,5
0.24,0.055,3.2,9.2,5
0.26,0.052,3.09,9.3,5
0.38,0.023,3.11,11.4,5
0.57,0.06,3.06,9.5,5
0.22,0.034,3.07,9.2,5
0.22,0.034,3.07,9.2,5
0.22,0.041,3.14,9.9,5
0.22,0.044,3.14,9.9,5
0.57,0.06,3.06,9.5,5
0.16,0.033,3.35,12.4,4
0.29,0.052,3.21,9.4,5
0.22,0.053,3.23,9.3,5
0.22,0.053,3.23,9.3,5
0.18,0.032,3.23,10.7,5
0.01,0.048,3.19,10,5
0.01,0.048,3.19,10,5
0.21,0.09,3.07,9.7,5
0.21,0.032,3.42,12.5,5
0.28,0.062,3.16,10.6,5
0.27,0.048,3.21,9.9,5
0.16,0.054,3.19,8.5,5
0.19,0.06,3.13,9.9,4
0.26,0.05,3.13,10.4,5
0.32,0.052,3.28,10.1,5
0.35,0.054,3.08,9.5,5
0.34,0.046,3.22,11,5
0.23,0.057,3.23,10,5
0.23,0.057,3.23,10,5
0.56,0.041,3.16,9.7,5
0.27,0.053,3.22,11.6,5
0.5,0.049,3.01,9,5
0.23,0.048,3.08,10,5
0.22,0.047,3.09,10,5
0.34,0.059,3.33,10.3,5
0.32,0.054,3.25,10.4,5
0.26,0.048,3.26,9.1,5
0.26,0.048,3.26,9.1,5
0.24,0.046,3.63,11.3,5
0.26,0.048,3.26,9.1,5
0.31,0.046,3.07,9.4,5
0.47,0.049,3.19,9.5,5
0.5,0.048,3.19,9.6,5
0.47,0.049,3.19,9.5,5
0.52,0.047,3.18,9.6,5
0.38,0.061,3.18,10.4,5
0.35,0.063,3.22,10.7,5
0.37,0.04,3.15,12,5
0.86,0.174,2.92,9.3,5
0.4,0.052,3.2,9.4,5
0.4,0.052,3.2,9.4,5
0.32,0.043,3.06,10.5,5
0.21,0.097,3.07,9.6,5
0.35,0.05,3.09,11.2,5
0.48,0.053,3.18,9.8,5
0.53,0.049,2.94,9.1,5
0.32,0.054,3.3,10.1,5
0.37,0.052,3.24,8.8,4
0.53,0.142,3.14,10.1,4
0.24,0.056,3.05,9.5,5
0.24,0.056,3.05,9.5,5
0.24,0.056,3.05,9.5,5
0.14,0.06,3.07,9.2,4
0.24,0.056,3.05,9.5,5
0.14,0.06,3.07,9.2,4
0.11,0.029,3.51,11.2,4
0.27,0.056,3.31,10.6,5
0.18,0.04,3.14,9.2,5
0.18,0.04,3.14,9.2,5
0.3,0.03,3.05,10.5,5
0.18,0.04,3.14,9.2,5
0.48,0.038,3.04,9.2,5
0.47,0.037,3.04,9.2,5
0.1,0.036,3.48,11.2,4
0.24,0.058,3.15,10.9,5
0.26,0.051,3.15,9.2,5
0.26,0.051,3.15,9.2,5
0.23,0.033,2.96,12,5
0.23,0.045,3.11,9.4,5
0.2,0.043,3.08,9.4,5
0.35,0.054,3.08,10.3,5
0.29,0.04,3.07,10.1,4
0.24,0.059,3.3,10.1,5
0.24,0.059,3.3,10.1,5
0.17,0.046,3.08,10,5
0.24,0.059,3.3,10.1,5
0.36,0.045,3.25,9.4,5
0.36,0.045,3.25,9.4,5
0.28,0.046,3.1,10.8,5
0.36,0.045,3.25,9.4,5
0.3,0.209,3.1,9.4,5
0.23,0.105,3.01,9.5,5
0.28,0.046,3.12,12,5
0.2,0.086,3.13,9.4,5
0.35,0.056,3.16,9.5,5
0.26,0.054,3.12,9.5,5
0.34,0.052,3.11,9.2,5
0.26,0.054,3.12,9.5,5
0.19,0.043,3.23,10.98,5
0.26,0.054,3.12,9.4,5
0.26,0.054,3.12,9.5,5
0.34,0.052,3.11,9.2,5
0.28,0.108,2.96,9.4,5
0.35,0.054,3.18,10.7,5
0.29,0.046,3.25,10.5333333333333,5
0.2,0.05,3.18,9.53333333333333,5
0.35,0.054,3.18,10.7,5
0.25,0.048,3.14,9.5,5
0.33,0.063,2.86,9.1,5
0.25,0.048,3.14,9.5,5
0.19,0.096,3.02,9.6,5
0.28,0.053,3.18,9.3,5
0.21,0.051,3.16,9.5,5
0.21,0.042,3.02,9.4,5
0.2,0.041,2.94,8.8,5
0.21,0.042,3.02,9.4,5
0.21,0.05,3.23,9.5,5
0.21,0.05,3.23,9.5,5
0.22,0.04,3.05,10.8,4
0.44,0.057,3.14,9.2,5
0.37,0.048,3.25,9.4,5
0.44,0.057,3.14,9.2,5
0.22,0.051,3.1,9.4,5
0.26,0.053,3.11,9.8,5
0.26,0.053,3.11,9.8,5
0.26,0.053,3.11,9.8,5
0.22,0.051,3.1,9.4,5
0.26,0.053,3.11,9.8,5
0.46,0.066,3.19,9.73333333333333,5
0.16,0.044,3.21,9.4,5
0.16,0.044,3.21,9.4,5
0.16,0.044,3.21,9.4,5
0.47,0.069,3.11,9.73333333333333,5
0.22,0.061,3.08,9.1,5
0.47,0.069,3.11,9.75,5
0.26,0.044,3.11,9.9,5
0.59,0.051,2.96,8.7,5
0.26,0.06,3.21,9.4,5
0.19,0.046,3.22,10.5,5
0.16,0.048,3.09,9.8,5
0.31,0.051,3.06,9.1,5
0.31,0.051,3.06,9.1,5
0.16,0.048,3.09,9.8,5
0.25,0.045,3.18,10.3,5
0.19,0.049,3.22,9.5,5
0.22,0.048,3.24,9.8,5
0.29,0.051,3.14,9,5
0.29,0.051,3.14,9,5
0.29,0.051,3.14,9,5
0.18,0.041,3.27,9.9,5
0.56,0.053,3.11,9.3,5
0.56,0.053,3.11,9.3,5
0.24,0.051,3.36,11,5
0.27,0.054,3.2,10.3,5
0.28,0.039,3.18,11.1,5
0.2,0.271,3.11,9.8,5
0.26,0.05,3.14,9.6,5
0.26,0.05,3.14,9.6,5
0.26,0.053,3.24,9.1,5
0.45,0.12,3.1,12.8,5
0.26,0.05,3.14,9.6,5
0.18,0.058,3.23,9.55,4
0.26,0.053,3.24,9.1,5
0.3,0.212,3.1,9.3,5
0.25,0.052,3.09,10.8,5
0.23,0.051,3.03,10.7,5
0.23,0.051,3.15,10.2,5
0.13,0.036,3.4,12.3333333333333,5
0.3,0.034,3.2,11.5,4
0.17,0.061,3.07,9.5,5
0.18,0.051,3.19,8.8,5
0.31,0.052,3.19,9.8,5
0.2,0.048,3.17,9.6,5
0.25,0.048,3.12,9.7,5
0.18,0.049,3.14,10.5,5
0.37,0.049,3.18,10.1,5
0.36,0.026,3.13,11.05,5
0.37,0.037,3.05,11.1,5
0.37,0.037,3.05,11.1,5
0.22,0.047,3.39,10.5,5
0.37,0.037,3.05,11.1,5
0.3,0.094,3.09,9.6,5
0.4,0.028,3.26,11.7,5
0.66,0.039,3.66,10.8,5
0.26,0.03,3.03,12,5
0.66,0.039,3.66,10.8,5
0.29,0.036,3.19,11.3,5
0.33,0.05,3.26,11.1,5
0.32,0.04,3.04,11.2,5
0.04,0.032,3.14,11,4
0.36,0.034,3.25,10.9,5
0.21,0.041,3.16,9.8,5
0.2,0.04,3.15,9.8,5
0.18,0.094,2.9,9.5,5
